Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
A1BG		NM_130786	1
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	NR_015380	503538
A1CF		NM_014576	29974
A1S9T			
A2M		NM_000014	2
A2M-AS1		NR_026971	144571
A2ML1	CPAMD9	NM_144670	144568
A2ML1-AS1			100874108
A2ML1-AS2			106478979
A2MP1	A2MP	NG_001067	3
A2MR			
A2MRAP			
A3GALT2	A3GALT2P	NM_001080438	127550
A4GALT	P1	NM_017436	53947
A4GNT		NM_016161	51146
A12M1			
A12M2			
A12M3			
A12M4			
AA	AA		
AAAS			8086
AABT			
AAC1			
AAC2			
AACS		NM_023928	65985
AACSP1	AACSL	NR_024035	729522
AACT			
AADAC		NM_001086	13
AADACL2		NM_207365	344752
AADACL2-AS1			101928142
AADACL3		NM_001103170	126767
AADACL4		NM_001013630	343066
AADACP1			201651
AADAT		NM_016228	51166
AAGAB		NM_024666	79719
AAK1		NM_014911	22848
AAMDC	C11orf67	NM_024684	28971
AAMP		NM_001087	14
AANAT		NM_001088	15
AAR2	C20orf4	NM_015511	25980
AARD	C8orf85	NM_001025357	441376
AARS1	AARS	NM_001605	16
AARS1P1	AARSP1		106480683
AARS2	AARSL	NM_020745	57505
AARSD1		NM_001261434	80755
AASDH		NM_181806	132949
AASDHPPT		NM_015423	60496
AASS		NM_005763	10157
AATBC		NR_026961	284837
AATF		NM_012138	26574
AATK		NM_004920	9625
AAVS1			17
ABALON		NR_131907	103021294
ABAT		NM_020686	18
ABC1			
ABC2			
ABC3			
ABC7			
ABC50			
ABCA1	ABC1, HDLDT1	NM_005502	19
ABCA2	ABC2	NM_001606	20
ABCA3	ABC3	NM_001089	21
ABCA4	STGD1, ABCR, RP19, STGD	NM_000350	24
ABCA5		NM_018672	23461
ABCA6		NM_080284	23460
ABCA7		NM_019112	10347
ABCA8		NM_007168	10351
ABCA9		NM_172386	10350
ABCA9-AS1			104355297
ABCA10		NM_080282	10349
ABCA11P	ABCA11	NR_002451.2	79963
ABCA12	ICR2B	NM_173076	26154
ABCA13		NM_152701	154664
ABCA17P		NR_003574	650655
ABCB1	PGY1, MDR1, CLCS	NM_000927	5243
ABCB2			
ABCB3			
ABCB4	PGY3, MDR3	NM_000443	5244
ABCB5		NM_178559	340273
ABCB6		NM_005689	10058
ABCB7	ABC7	NM_004299	22
ABCB8		NM_007188	11194
ABCB9		NM_019624	23457
ABCB10		NM_012089	23456
ABCB10P1	ABCB10P, ABCB10P2	NG_005041	56476
ABCB10P2			
ABCB10P3		NG_022122	728248
ABCB10P4		NG_022102	100132289
ABCB11	BSEP, PFIC2	NM_003742	8647
ABCC1	MRP, MRP1	NM_004996	4363
ABCC2	CMOAT	NM_000392	1244
ABCC3		NM_020038	8714
ABCC4		NM_005845	10257
ABCC5		NM_005688	10057
ABCC5-AS1			100873982
ABCC6	ARA, PXE		368
ABCC6P1		NR_003569	653190
ABCC6P2		NR_023387	730013
ABCC7			
ABCC8	SUR, HRINS	NM_000352	6833
ABCC9		NM_005691	10060
ABCC10		NM_033450	89845
ABCC11		NM_032583	85320
ABCC12		NM_033226	94160
ABCC13			150000
ABCD1	ALD	NM_000033	215
ABCD1P1			23785
ABCD1P2			26983
ABCD1P3			26982
ABCD1P4			26957
ABCD1P5			642762
ABCD2	ALDL1	NM_005164	225
ABCD3	PXMP1	NM_002858	5825
ABCD4	PXMP1L	NM_005050	5826
ABCE1	RNASEL1, RNASELI, RNS4I	NM_002940	6059
ABCF1	ABC50		23
ABCF1-DT			107986587
ABCF2		NM_005692	10061
ABCF2P1			344653
ABCF2P2			100422059
ABCF3		NM_018358	55324
ABCG1		NM_207174	9619
ABCG2		NM_004827	9429
ABCG4		NM_022169	64137
ABCG5		NM_022436	64240
ABCG8		NM_022437	64241
ABCR			
ABHD1		NM_032604	84696
ABHD2			11057
ABHD3			171586
ABHD4			63874
ABHD5		NM_016006	51099
ABHD6		NM_020676	57406
ABHD8		NM_024527	79575
ABHD10		NM_018394	55347
ABHD11	WBSCR21		83451
ABHD11-AS1	WBSCR26, LINC00035	NR_026690	171022
ABHD11-AS2			
ABHD12	C20orf22	NM_015600	26090
ABHD12B	C14orf29		145447
ABHD13	C13orf6	NM_032859	84945
ABHD14A		NM_015407	25864
ABHD14A-ACY1			100526760
ABHD14B		NM_032750	84836
ABHD15		NM_198147	116236
ABHD15-AS1			104355133
ABHD16A	BAT5		7920
ABHD16B	C20orf135		140701
ABHD17A	C19orf27, FAM108A1	NM_031213	81926
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	NG_011738	728917
ABHD17AP2	FAM108A3, FAM108A11P, FAM108A3P		
ABHD17AP3	FAM108A4, FAM108A4P	XR_041784	648359
ABHD17AP4	FAM108A5, FAM108A5P		729495
ABHD17AP5	FAM108A6, FAM108A6P		91219
ABHD17AP6	FAM108A7P		644988
ABHD17AP7	FAM108A8P		100133212
ABHD17AP8	FAM108A9P		647144
ABHD17AP9	FAM108A10P		100132251
ABHD17B	C9orf77, FAM108B1	NM_016014	51104
ABHD17C	FAM108C1	NM_021214	58489
ABHD18	C4orf29	NM_001039717	80167
ABI1	SSH3BP1	NM_005470	10006
ABI1P1	SSH3BP1P, ABI1P	NG_002531	326268
ABI2		NM_005759	10152
ABI3		NM_016428	51225
ABI3BP			25890
ABITRAM	C9orf6, FAM206A	NM_017832	54942
ABITRAMP1	FAM206BP	NG_011392	390403
ABL1	ABL	NM_007313	25
ABL2	ABLL	NM_005158	27
ABLIM1	LIMAB1, ABLIM		3983
ABLIM2		NM_001130083	84448
ABLIM3		NM_014945	22885
ABO		NM_020469	28
ABR			29
ABRA		NM_139166	137735
ABRACL	C6orf115	NM_021243	58527
ABRAXAS1	CCDC98, FAM175A	NM_139076	84142
ABRAXAS2	KIAA0157, FAM175B	NM_032182	23172
ABT1			29777
ABT1P1		NG_025142	100420695
ABTB1		NM_172027	80325
ABTB2		NM_145804	25841
ACAA1		NM_001607	30
ACAA2		NM_006111	10449
ACACA	ACAC, ACC	NM_198836	31
ACACB		NM_001093	32
ACAD			
ACAD8		NM_014384	27034
ACAD9		NM_014049	28976
ACAD10		NM_025247	80724
ACAD11		NM_032169	84129
ACADL		NM_001608	33
ACADM			34
ACADS		NM_000017	35
ACADSB		NM_001609	36
ACADVL		NM_000018	37
ACAN	MSK16, CSPG1, AGC1	NM_001135	176
ACAP1	CENTB1	NM_014716	9744
ACAP2	CENTB2	NM_012287	23527
ACAP2-IT1			100874306
ACAP3	CENTB5	NM_030649	116983
ACAT1	ACAT	NM_000019	38
ACAT2		NM_005891	39
ACBD3	GOLPH1, GOCAP1	NM_022735	64746
ACBD3-AS1		NR_146443	107985353
ACBD4		NM_024722	79777
ACBD5		NM_145698	91452
ACBD6		NM_032360	84320
ACBD7			414149
ACBP			
ACC			
ACCN			
ACCPN			
ACCS		NM_032592	84680
ACCSL		NM_001031854	390110
ACD		NM_022914	65057
